汉字,词义
陸上,陆上
理屈,理论
利権,利权
俚諺,俚语
利己,自私
利口,聪明
履行,履行
離合,离合
離婚,离婚
罹災,遭受灾害
離散,离散
利子,利息
理事,理事
履修,学完
利潤,红利
栗鼠,松鼠
利する,有利
理性,理性
理想,理想
利息,利息
理智,理智
律儀,诚实
離着陸,起飞和降落
立案,筹划
立脚,立足
立憲,立宪
立候補,提名候选
立秋,立秋
立春,立春
立証,证实
立食,站着吃
立身,处罚
立体,立体
律動,节奏
立派,优秀
立腹,动怒
立法,立法
律令,法规
利点,长处
離乳,断奶
利尿,利尿
離任,离职
理念,观念
理髪,理发
離反,反叛
罹病,患病
理不尽,无理
離別,别离
裏面,里面
略,省略
略語,略与
略字,简化字
略す,省略
理由,根据
留意,留心
流域,流域
硫化,硫化
留学,留学
流感,流行性感冒
隆起,隆起
流儀,作法
竜宮,龙宫
流血,流血
流言,流言
流行,流行
硫酸,硫酸
粒子,粒子
流失,流失
流出,流出
流星,流行
隆盛,隆盛
留置,拘留
流暢,水流顺畅
流通,换气
流動,流动
流入,流进
留任,留任
留年,留级
流派,流派
流氷,流冰
流量,流量
寮,宿舍
両,两
良,良好
利用,利用
両足,两脚
領域,领域
凌駕,凌驾
了解,理解
諒解,谅解
領海,领海
両替,兑调
両側,两侧
猟奇,猎奇
両極,南极
料金,费用
領空,领空
了見,思想
良好,良好
良妻,贤妻
漁師,渔夫
領事,领事
良識,理智
良質,优质
領主,领主
領収,接受
了承,了解
陵辱，凌辱,凌辱
両親,双亲
良心,良心
両性,两性
両棲,两栖
両端,两端
領地,领地
両手,左右手
料亭,日本是高级饭店
領土,领土
両方,两边
両面,双面
良薬,良药
療養,疗养
繚乱,缭乱
料理,菜肴
両立,两立
旅客,旅行者
旅館,旅馆
緑樹,绿树
緑色,绿色
緑地,绿地
緑茶,绿茶
旅券,护照
旅行,旅行者
旅愁,旅愁
旅情,旅情
旅費,旅费
離陸,离陆
凛々しい,威风凛凛
履歴,履历
履歴書,履历书
理論,理论
隣家,邻居
臨海,沿海
臨界,临界
輪郭,大概
臨機応変,随机应变
林業,林业
林檎,苹果
隣国,邻国
臨時,临时
隣室,隔壁房间
臨終,临终
臨床,临床
隣人,邻居
臨席,列席
隣接,临接
輪タク,拖斗三轮车
輪廻,轮回
倫理,伦理
林立,林立
凛冽,凛冽
類,种类
累加,累加
類義語,近义词
累計,累计
類型,类型
類似,类似
類推,类比
累積,累积
類別,分类
累々,累累
類例,相似的例子
流罪,发配
留守,不在家
留守番,看家
流説,流言
坩堝,坩埚
流転,轮回
流布,散步
瑠璃,蓝宝石
流浪,流浪
礼,礼仪
例,前例
霊,灵魂
零,零
冷夏,凉夏
零下,零下
例会,例会
例解,举例说明
例外,例外
冷害,冻灾
礼儀,礼仪
冷却,冷却
礼金,礼金
冷遇,冷遇
冷血,体温低
冷酷,冷酷
霊魂,灵魂
零細,零碎
礼式,规矩
冷笑,冷笑
令嬢,令嫒
冷水,冷水
冷静,冷静
礼節,礼貌
冷戦,冷战
冷然,冰冷
礼装,礼服
冷蔵,冷藏
令息,令郎
隷属,隶属
冷淡,冷淡
零点,零分
零度,零度
冷凍,冷冻
例年,往年
冷罵,嘲弄
礼服,礼服
例文,例文
礼砲,礼炮
礼法,礼仪
冷房,冷气设bei
怜悧,伶俐
歴史,历史
轢死,轧死
歴然,明确
歴代,历代
歴任,历任
列,列
れっきとした,高贵
列挙,列举
列車,列车
列する,出席
劣勢,劣势
列席,出席
列島,列岛
劣等,劣等
恋愛,恋爱
廉価,价格便宜
恋歌,恋歌
煉瓦,砖
連歌,连歌
連休,连休
蓮華,莲花
連携,联合
廉潔,清廉
連結,联结
連合,结合
蓮根,藕
連鎖,连锁
連座,同坐一席
連載,连载
連日,连接几日
練習,练习
連勝,连胜
連想,联想
連続,连续
連帯,联合
連中,伙伴
連動,连锁
連覇,连胜
連発,接连发射
憐憫,怜悯
恋慕,爱慕
連邦,联邦
連名,联名
連盟,同盟
連綿,连续不断
連絡,联络
連立,联合
老,老
漏洩,漏了
廊下,走廊
労,辛劳
労苦,辛苦
老後,老后
牢獄,牢狱
労作,劳动
老弱,老幼
陋習,陋习
漏出,漏出
朗誦,朗诵
老人,老人
労する,劳苦
弄する,嘲弄
老成,圆滑
狼藉,杂乱
漏電,漏电
労働,劳动
労働者,劳动者
朗読,朗读
老若,老少
浪人,失去主人的流浪武士
老年,老年
狼狽,狼狈
蝋梅,腊梅
浪費,浪费
朗報,喜报
浪漫,浪漫
牢屋,牢狱
労力,劳动力
朗々,朗朗
濾過,过滤
録音,录音
録画,录像
六月,六月份
碌な,令人满意的
碌に,满意
露見,败露
露骨,露骨
濾紙,过滤纸
路地,小巷
露出,露出
路線,路线
露台,阳台
肋骨,肋骨
露天,露天
露店,街头店
路頭,路旁
驢馬,驴子
炉端,炉边
路面,路面
呂律,发音
論,理论
論外,论题之外
論議,讨论
論語,论语
論じる,论述
論説,评论
論争,辩论
論文,论说文
論理,伦理
猥褻,猥亵
賄賂,贿赂
わいわい,喧哗
和歌,和歌
若い,年轻
和解,和好
若返る,变得年轻
和菓子,日式点心
若死に,短命
沸かす,烧开
分かつ,分享
若作り,打扮得年轻
若手,年轻人
若葉,嫩叶
我輩,我们
我が儘,任性放肆
若布,裙带菜
若者,年轻人
我が物顔,旁若无人
我が家,自己的家
分かる，判る,理解
別れ,离别
分かれ目,分界点
分かれる,分歧
別れる,分别
脇,腋
和気藹々,和睦
湧き上がる,煮沸
沸き立つ,沸腾
弁える,区别
脇目,往别处看
脇役,配角
沸く,煮开
湧く,涌出
枠,框
枠組み,框架
惑星,行星
枠内,框子里
わくわく,心情不平静
訳,意思
分け入る,扒开进入
分け目,发缝儿
分ける,分割
和語,日本固有的语言
業,工作
わざと,故意
山葵,芥末
災い,灾难
わざわざ,特别
和紙,和纸
わし,我
鷲,雕
和式,日式
和室,日式房间
和食,日式饭菜
僅か,仅
煩い，患い,苦恼
煩う，患う,烦心
煩わしい,麻烦
煩わす,为……苦恼
忘れ形見,纪念品
忘れっぽい,健忘
忘れ物,遗忘的东西
忘れる,忘记
綿,棉花
話題,话题
蟠り,反感
蟠る,卷
私,自己
私,我
渡す,架
渡り,传来
渡り鳥,候鸟
渡る,过河
わっしょい,嘿吆
罠,圈套
鰐,鳄鱼
詫び,道歉
侘しい,寂寞
詫びる,道歉
和風,日式
和服,和服
和平,和平
喚く,叫
藁,稻草
笑い,笑
笑い種,笑柄
笑いこける,捧腹大笑
笑い事,玩笑
笑い飛ばす,付之一笑
笑い話,笑话
笑う,笑
草鞋,草鞋
割,比例
割合,比率
割り当て,分配
割り当てる,分摊
割り切る,断然下结论
割り切れる,除尽
割り込む,挤进
割に,意外
割引,减价
割り引く,打折扣
割り振る,分派
割り前,分得的份儿
割り増し,增额
割安,比较便宜
割る,破坏
悪,坏事
悪い,坏
悪気,恶意
悪口,中伤
悪さ,坏
悪者,坏人
我,我
我勝ちに,争先恐后
我知らず,不知不觉地
我ながら,连自己都
割れ目,裂纹
割れ物,易碎之物
我等,我们
割れる,碎
我々,我们
腕章,袖章
腕白,顽皮鬼
腕力,腕力
電話,电话
もう一回会う,重逢
許す,宽容
探す,寻觅
目,眼睛
